ㄇㄠ mɑu1
ㄇㄠˇ mɑu3
ㄇㄠˊ mɑu2
ㄇㄠˋ mɑu4
ㄇㄠ˙ mɑu0
ㄇㄡ mou1
ㄇㄡˇ mou3
ㄇㄡˊ mou2
ㄇㄡˋ mou4
ㄇㄡ˙ mou0
ㄇㄢ man1
ㄇㄢˇ man3
ㄇㄢˊ man2
ㄇㄢˋ man4
ㄇㄢ˙ man0
ㄇㄣ mən1
ㄇㄣˇ mən3
ㄇㄣˊ mən2
ㄇㄣˋ mən4
ㄇㄣ˙ mən0
ㄇㄤ mɑŋ1
ㄇㄤˇ mɑŋ3
ㄇㄤˊ mɑŋ2
ㄇㄤˋ mɑŋ4
ㄇㄤ˙ mɑŋ0
ㄇㄥ məŋ1
ㄇㄥˇ məŋ3
ㄇㄥˊ məŋ2
ㄇㄥˋ məŋ4
ㄇㄥ˙ məŋ0
ㄇㄧ mi1
ㄇㄧˇ mi3
ㄇㄧˊ mi2
ㄇㄧˋ mi4
ㄇㄧ˙ mi0
ㄇㄧㄝ miɛ1
ㄇㄧㄝˇ miɛ3
ㄇㄧㄝˊ miɛ2
ㄇㄧㄝˋ miɛ4
ㄇㄧㄝ˙ miɛ0
ㄇㄧㄠ miɑu1
ㄇㄧㄠˇ miɑu3
ㄇㄧㄠˊ miɑu2
ㄇㄧㄠˋ miɑu4
ㄇㄧㄠ˙ miɑu0
ㄇㄧㄡ miou1
ㄇㄧㄡˇ miou3
ㄇㄧㄡˊ miou2
ㄇㄧㄡˋ miou4
ㄇㄧㄡ˙ miou0
ㄇㄧㄢ miɛn1
ㄇㄧㄢˇ miɛn3
ㄇㄧㄢˊ miɛn2
ㄇㄧㄢˋ miɛn4
ㄇㄧㄢ˙ miɛn0
ㄇㄧㄣ min1
ㄇㄧㄣˇ min3
ㄇㄧㄣˊ min2
ㄇㄧㄣˋ min4
ㄇㄧㄣ˙ min0
ㄇㄧㄥ miŋ1
ㄇㄧㄥˇ miŋ3
ㄇㄧㄥˊ miŋ2
ㄇㄧㄥˋ miŋ4
ㄇㄧㄥ˙ miŋ0
ㄇㄨ mu1
ㄇㄨˇ mu3
